model,mae,rmse,mape,smape
elasticnet_lagged,5.962084546993954,7.6602800037514305,3.483056651554529,3.5703529863234413
ridge_lagged,5.96689502994388,7.6640622735989306,3.485943562331105,3.5732104422948976
random_forest_lagged,11.411720092029894,13.199195973351708,6.571137440358789,6.866466476454325
gradient_boosting_lagged,13.413567333925771,14.68694129866806,7.78791825735672,8.159799767182516
