model,mae,rmse,mape,smape,status
moving_average_6,10.028940590344199,11.644662433477977,5.795923586665605,5.997955490340122,trained
moving_average_3,10.702968243374228,12.359945943166151,6.177750641663296,6.416726533019208,trained
seasonal_naive_12,13.253624486422055,14.028939719109625,7.800050080189326,8.157730543141456,trained
naive,19.52857454410947,21.28827882358577,11.318185813054022,12.117473482463954,trained
